substrate,rmse
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.16399798880495478
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.13299596710466782
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.13736032802305723
cosmx_bcc,0.1678116429039551
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15744410019856508
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.1678116429039551
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.16840137716062262
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15744410019856508
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.15744410019856508
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14270087172959506
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15228838512220463
cosmx_bcc,0.14103526231869964
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1618833798540152
cosmx_bcc,0.1618833798540152
cosmx_bcc,0.14270087172959506
cosmx_bcc,0.14270087172959506
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.16399798880495478
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15982067536874106
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.16840137716062262
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15903242985627894
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14103526231869964
cosmx_bcc,0.14270087172959506
cosmx_bcc,0.14270087172959506
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.13299596710466782
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14103526231869964
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15323808075760928
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.15163257368226918
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1678116429039551
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.1618833798540152
cosmx_bcc,0.15744410019856508
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.14531876128143625
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.1618833798540152
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.1618833798540152
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.1678116429039551
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.1678116429039551
cosmx_bcc,0.16399798880495478
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.14270087172959506
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.1678116429039551
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.15228838512220463
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.14531876128143625
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.16840137716062262
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.14103526231869964
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.14531876128143625
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.15982067536874106
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15323808075760928
cosmx_bcc,0.15903242985627894
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15163257368226918
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15228838512220466
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.14531876128143625
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.14531876128143625
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15903242985627894
cosmx_bcc,0.14270087172959506
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15982067536874106
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.1618833798540152
cosmx_bcc,0.15744410019856508
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.15163257368226918
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.15982067536874103
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15982067536874106
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.15744410019856508
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.15903242985627894
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.14270087172959506
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15323808075760928
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.15982067536874106
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14940308159368376
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.15323808075760928
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.13299596710466782
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.15163257368226918
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.15163257368226918
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.16840137716062262
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.14940308159368376
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.16399798880495478
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.15903242985627894
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15903242985627894
cosmx_bcc,0.15228838512220466
cosmx_bcc,0.15228838512220466
cosmx_bcc,0.13299596710466782
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.15982067536874103
cosmx_bcc,0.16840137716062262
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.16399798880495478
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15163257368226918
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.13299596710466782
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15903242985627894
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15744410019856508
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15744410019856508
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.14103526231869964
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.13816488146756936
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.16840137716062262
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.15982067536874103
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.15163257368226915
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.13736032802305723
cosmx_bcc,0.1618833798540152
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.13299596710466782
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.13736032802305723
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.1639979888049548
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.14620924621097614
cosmx_bcc,0.17135889355614684
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.14531876128143625
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.15228838512220466
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.14103526231869964
cosmx_bcc,0.16399798880495478
cosmx_bcc,0.12935727072521644
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.14531876128143625
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.14103526231869964
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.1618833798540152
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.16840137716062262
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.15824025788864235
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.14270087172959506
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.1389647769303182
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.1513327297446995
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.14445140307744614
cosmx_bcc,0.16467244787278681
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.16332074447455985
cosmx_bcc,0.15706625168418045
cosmx_bcc,0.14103526231869964
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.14552960984662916
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.1435788052663574
cosmx_bcc,0.15037100099698608
cosmx_bcc,0.15903242985627894
cosmx_bcc,0.15228838512220463
cosmx_bcc,0.15163257368226918
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.1518176107871939
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.13373931210222229
cosmx_bcc,0.15236178050237661
cosmx_bcc,0.15769617545643919
cosmx_bcc,0.1508998430919104
cosmx_bcc,0.15163257368226918
cosmx_bcc,0.15163257368226918
cosmx_bcc,0.13736032802305725
cosmx_bcc,0.13299596710466782
cosmx_bcc,0.1590324298562789
cosmx_bcc,0.13816488146756933
cosmx_bcc,0.15163257368226915
